district,year,planted_ha,harvested_ha,production_mt,yield(mt/ha),yield,yield_h,zyield,flag
choma,2017,43275,37124,83415,1.93,1.9275563258232236,2.2469292102144167,0.5058540524644998,0
choma,2018,50629,37842,57382,1.13,1.1333820537636532,1.5163574863907827,-0.7994674792578991,0
choma,2019,53094,9022,7365,0.14,0.13871623912306474,0.816337840833518,-2.434321125865544,1
choma,2020,45561,39108,73334,1.61,1.6095783674634008,1.875166206402782,-0.016781205643019822,0
choma,2021,53412,37658,92784,1.74,1.7371377218602562,2.4638589409952734,0.19287803128367592,0
choma,2022,50424,28760,52371,1.04,1.0386125654450262,1.8209666203059804,-0.9552326028645968,0
chongwe,2011,27465,22609,61929,2.25,2.2548334243582744,2.739130434782609,0.06883813178127378,0
chongwe,2012,20843,19868,57752,2.77,2.7708103440003837,2.906784779544997,1.0181800235722225,0
chongwe,2013,25118,20724,54263,2.16,2.1603232741460308,2.6183651804670913,-0.10505035311097907,0
chongwe,2014,27132,23719,75552,2.78,2.784608580274215,3.185294489649648,1.043567290383814,0
chongwe,2015,25882,17395,49302,1.9,1.9048759755814852,2.834262719172176,-0.5750458363204992,0
chongwe,2016,24899,21598,65906,2.65,2.646933611791638,3.051486248726734,0.790260194550603,0
chongwe,2017,33067,27834,85132,2.57,2.574530498684489,3.058561471581519,0.6570462740202606,0
chongwe,2018,30965,20555,61477,1.99,1.9853705796867431,2.990853806859645,-0.42694444489924516,0
chongwe,2019,30211,9139,20336,0.67,0.6731323028036146,2.225188751504541,-2.841321369201997,2
chongwe,2020,32143,29612,74820,2.33,2.3277229878978316,2.5266783736323113,0.20294706865088444,0
chongwe,2021,36735,35141,88794,2.42,2.4171498570845245,2.5267920662474035,0.36748286461153035,0
chongwe,2022,39112,25360,82477,2.11,2.1087390059316835,3.2522476340694007,-0.19995984403787428,0
gwembe,2011,5314,4216,6814,1.28,1.282273240496801,1.616223908918406,0.016364408205961616,0
gwembe,2012,5892,4088,8704,1.48,1.4772572980312288,2.1291585127201564,0.36169702366307527,0
