,district,planted_ha,harvested_ha,production_mt,yield(mt/ha),year,yield
581,monze,42946,13318,43089,1.00,2015,3.23539570506082
582,monze,42286,37093,71207,1.68,2014,1.9196883509017875
583,monze,47494,6920,8166,0.17,2019,1.180057803468208
584,monze,38436,27361,65542,1.71,2012,2.3954533825518074
585,monze,48489,37929,102644,2.12,2021,2.706214242400274
586,mpika,23948,21643,76003,3.17,2019,3.511666589659474
587,mpika,34422,30772,104611,3.04,2020,3.3995515403613674
588,mpika,14742,13857,48010,3.26,2013,3.4646748935556038
589,mpika,27099,25583,92102,3.40,2021,3.6001250830629714
590,mpika,19612,18482,78000,3.98,2011,4.2203224759225195
591,mpika,28572,27675,102752,3.60,2017,3.7128093947606144
592,mpika,15477,14235,52513,3.39,2012,3.689005971197752
593,mpika,22459,18375,71257,3.17,2015,3.8779319727891157
594,mpika,19001,17566,63118,3.32,2014,3.593191392462712
595,mpika,20364,19395,69387,3.41,2016,3.577571539056458
596,mpika,20284,16865,63903,3.15,2018,3.7890898310109695
597,mpika,24459,20957,66855,2.73,2022,3.190103545354774
598,mpongwe,23671,20412,63935,2.70,2013,3.132226141485401
599,mpongwe,25259,22920,74440,2.95,2022,3.2478184991273995
600,mpongwe,26981,24226,85047,3.15,2015,3.510567159250392
601,mpongwe,30497,29487,95622,3.14,2016,3.2428527825821547
602,mpongwe,32521,24515,87451,2.69,2019,3.567244544156639
603,mpongwe,28404,26741,82019,2.89,2012,3.067162783740324
604,mpongwe,30484,27146,92076,3.02,2011,3.3918809401016725
605,mpongwe,28433,26200,83737,2.95,2014,3.1960687022900762
606,mpongwe,33977,29291,83992,2.47,2021,2.8675019630603256
607,mpongwe,29310,28542,106592,3.64,2017,3.7345666036017096
608,mpongwe,28729,26012,78177,2.72,2020,3.005420575119176
609,mpongwe,27966,22996,70605,2.52,2018,3.0703165767959644
610,mporokoso,7422,6575,18601,2.51,2013,2.8290494296577946
611,mporokoso,11328,11024,36301,3.20,2021,3.2929063860667633
612,mporokoso,10446,9188,29400,2.81,2011,3.1998258598171527
613,mporokoso,11413,11013,34256,3.00,2019,3.110505765913012
614,mporokoso,9768,9595,28346,2.90,2016,2.9542470036477333
615,mporokoso,9529,8667,25658,2.69,2014,2.9604245990538827
616,mporokoso,7153,6468,24965,3.49,2012,3.859771181199753
617,mporokoso,10185,9870,29544,2.90,2017,2.9933130699088144
618,mporokoso,11391,10836,31073,2.73,2022,2.8675710594315245
619,mporokoso,8522,7877,21526,2.53,2018,2.7327662815792815
620,mporokoso,11322,10861,31090,2.75,2015,2.8625356781143543
621,mporokoso,11841,11204,36943,3.12,2020,3.297304534094966
622,mpulungu,8956,8472,25408,2.84,2016,2.9990557129367326
623,mpulungu,10429,9534,18938,1.82,2022,1.986364589888819
624,mpulungu,8729,8724,13845,1.59,2019,1.5870013755158183
625,mpulungu,9476,9120,17161,1.81,2015,1.881688596491228
626,mpulungu,9303,9199,34765,3.74,2011,3.7792151320795737
627,mpulungu,8482,7136,15277,1.80,2013,2.1408352017937218
628,mpulungu,9002,8780,23046,2.56,2014,2.6248291571753986
629,mpulungu,11762,10897,25978,2.21,2020,2.3839588877672755
630,mpulungu,11053,10514,30061,2.72,2017,2.859140194027012
631,mpulungu,7925,7666,18650,2.35,2018,2.4328202452387164
632,mpulungu,8006,7854,30665,3.83,2021,3.9043799337916987
633,mpulungu,9558,9339,29349,3.07,2012,3.1426276903308707
634,mufulira,1830,1683,5517,3.01,2018,3.27807486631016
635,mufulira,3053,2495,11872,3.89,2015,4.758316633266533
636,mufulira,1946,1826,6700,3.44,2016,3.669222343921139
637,mufulira,1557,1480,4141,2.66,2019,2.797972972972973
638,mufulira,1285,1269,4082,3.18,2022,3.2167060677698975
639,mufulira,1768,1734,6026,3.41,2021,3.47520184544406
640,mufulira,2525,2344,9864,3.91,2014,4.208191126279863
641,mufulira,3950,3663,16868,4.27,2012,4.604968604968605
642,mufulira,1883,1845,6011,3.19,2020,3.2579945799457994
643,mufulira,2193,1735,6195,2.82,2017,3.5706051873198845
644,mufulira,3082,2716,9087,2.95,2011,3.3457290132547866
645,mufulira,2238,2000,5728,2.56,2013,2.864
646,mufumbwe,9711,8043,23030,2.37,2022,2.8633594429939078
647,mufumbwe,10366,8766,17771,1.71,2011,2.0272644307551904
648,mufumbwe,10046,8788,26885,2.68,2015,3.059285389167046
649,mufumbwe,8428,7322,20513,2.43,2018,2.801556951652554
650,mufumbwe,10484,9134,27192,2.59,2020,2.9770089774469017
651,mufumbwe,11445,8881,22266,1.95,2021,2.5071500957099424
652,mufumbwe,10345,10089,30744,2.97,2012,3.0472792149866192
653,mufumbwe,12500,10200,26265,2.10,2017,2.575
654,mufumbwe,10864,9762,26372,2.43,2014,2.7014955951649253
655,mufumbwe,10534,9942,29706,2.82,2016,2.987929993964997
656,mufumbwe,11689,9622,24150,2.07,2019,2.5098732072334236
657,mufumbwe,10465,9392,24492,2.34,2013,2.6077512776831346
658,mumbwa,48547,30370,73162,1.51,2013,2.409022061244649
659,mumbwa,52311,41079,112100,2.14,2014,2.728888239733197
660,mumbwa,65700,54148,105056,1.60,2021,1.9401639949767304
661,mumbwa,63020,49415,67954,1.08,2020,1.375169482950521
662,mumbwa,35944,29544,95568,2.66,2011,3.2347684809098296
663,mumbwa,60931,16051,30616,0.50,2019,1.9074200984362346
664,mumbwa,34109,29057,83852,2.46,2012,2.8857762329214993
665,mumbwa,50808,39303,94954,1.87,2022,2.415947892018421
666,mumbwa,53645,39296,84793,1.58,2018,2.1578023208469057
667,mumbwa,61196,49489,111279,1.82,2017,2.248560286124189
668,mumbwa,59347,32891,60167,1.01,2015,1.8292846067313246
669,mumbwa,56301,47566,121775,2.16,2016,2.5601269814573433
670,mungwi,24363,23906,75682,3.11,2021,3.1658161131096794
671,mungwi,19090,16739,51869,2.72,2022,3.0986916781169724
672,mungwi,15258,14815,51147,3.35,2012,3.4523793452581844
673,mungwi,6968,6766,23121,3.32,2011,3.4172332249482706
674,mungwi,22002,18880,64581,2.94,2020,3.420603813559322
675,mungwi,14569,14024,52480,3.60,2015,3.742156303479749
