,district,year,yield
406,chipili,2021,4.1839699999999995
407,chipili,2022,4.01188
408,chirundu,1999,4.189946666666667
409,chirundu,2000,4.17089
410,chirundu,2001,4.24608
411,chirundu,2002,4.21668
412,chirundu,2003,3.96767
413,chirundu,2004,4.321549999999999
414,chirundu,2005,3.97593
415,chirundu,2006,3.97547
416,chirundu,2007,3.89168
417,chirundu,2008,4.05265
418,chirundu,2009,4.05645
419,chirundu,2010,3.93391
420,chirundu,2011,3.9736200000000004
421,chirundu,2012,3.9868599999999996
422,chirundu,2013,4.18961
423,chirundu,2014,3.97958
424,chirundu,2015,3.8862200000000002
425,chirundu,2016,3.93077
426,chirundu,2017,4.27367
427,chirundu,2018,3.8402100000000003
428,chirundu,2019,3.7785
429,chirundu,2020,3.9913600000000002
430,chirundu,2021,4.157509999999999
431,chirundu,2022,3.7094
432,chisamba,1999,4.271833333333333
433,chisamba,2000,4.1650599999999995
434,chisamba,2001,4.2369900000000005
435,chisamba,2002,4.28108
436,chisamba,2003,3.99595
437,chisamba,2004,4.27195
438,chisamba,2005,4.00054
439,chisamba,2006,3.9585700000000004
440,chisamba,2007,3.92899
441,chisamba,2008,4.02059
442,chisamba,2009,4.08992
443,chisamba,2010,3.9150400000000003
444,chisamba,2011,4.03208
445,chisamba,2012,3.9756799999999997
446,chisamba,2013,4.10323
447,chisamba,2014,4.00137
448,chisamba,2015,3.9081900000000003
449,chisamba,2016,3.9605099999999998
450,chisamba,2017,4.26742
451,chisamba,2018,3.8624400000000003
452,chisamba,2019,3.7748899999999996
453,chisamba,2020,3.99695
454,chisamba,2021,4.17524
455,chisamba,2022,3.9794799999999997
456,chitambo,1999,4.242406666666667
457,chitambo,2000,4.1633
458,chitambo,2001,4.21816
459,chitambo,2002,4.24451
460,chitambo,2003,3.9619799999999996
461,chitambo,2004,4.2697199999999995
462,chitambo,2005,3.95526
463,chitambo,2006,3.95063
464,chitambo,2007,3.9198500000000003
465,chitambo,2008,3.99414
466,chitambo,2009,4.08846
467,chitambo,2010,3.90721
468,chitambo,2011,4.0056
469,chitambo,2012,3.9699299999999997
470,chitambo,2013,4.18175
471,chitambo,2014,3.9974399999999997
472,chitambo,2015,3.8745800000000004
473,chitambo,2016,3.94369
474,chitambo,2017,4.2538
475,chitambo,2018,3.86391
476,chitambo,2019,3.81386
477,chitambo,2020,3.97697
478,chitambo,2021,4.23235
479,chitambo,2022,3.7845094339622642
480,choma,1999,4.277373333333333
481,choma,2000,4.18116
482,choma,2001,4.1700099999999996
483,choma,2002,4.242389999999999
484,choma,2003,3.96254
485,choma,2004,4.264390000000001
486,choma,2005,3.98226
487,choma,2006,3.97512
488,choma,2007,3.92638
489,choma,2008,4.0103100000000005
490,choma,2009,4.09477
491,choma,2010,3.9420699999999997
492,choma,2011,3.98762
493,choma,2012,3.98909
494,choma,2013,4.16523
495,choma,2014,3.99274
496,choma,2015,3.9535700000000005
497,choma,2016,3.99196
498,choma,2017,4.2283800000000005
499,choma,2018,3.89241
500,choma,2019,3.75672
501,choma,2020,3.9805099999999998
502,choma,2021,4.15813
503,choma,2022,3.753611111111111
504,chongwe,1999,4.26326
505,chongwe,2000,4.16661
506,chongwe,2001,4.15718
507,chongwe,2002,4.28564
508,chongwe,2003,4.01159
509,chongwe,2004,4.30324
510,chongwe,2005,4.035810000000001
511,chongwe,2006,3.94375
512,chongwe,2007,3.8906
513,chongwe,2008,3.98766
514,chongwe,2009,4.1048599999999995
515,chongwe,2010,3.91461
516,chongwe,2011,4.03365
517,chongwe,2012,3.99957
518,chongwe,2013,4.15138
519,chongwe,2014,3.9962099999999996
520,chongwe,2015,3.90506
521,chongwe,2016,3.9725900000000003
522,chongwe,2017,4.240559999999999
523,chongwe,2018,3.9185200000000004
524,chongwe,2019,3.78446
525,chongwe,2020,3.9468799999999997
526,chongwe,2021,4.20859
527,chongwe,2022,3.5154736842105265
528,gwembe,1999,4.225573333333333
529,gwembe,2000,4.21209
530,gwembe,2001,4.16903
531,gwembe,2002,4.23841
532,gwembe,2003,3.9274400000000003
533,gwembe,2004,4.29175
534,gwembe,2005,4.04179
535,gwembe,2006,3.95822
536,gwembe,2007,3.91417
537,gwembe,2008,4.01222
538,gwembe,2009,4.08854
539,gwembe,2010,3.92132
540,gwembe,2011,4.0096300000000005
541,gwembe,2012,3.9737299999999998
542,gwembe,2013,4.175
543,gwembe,2014,3.97771
544,gwembe,2015,3.89776
545,gwembe,2016,3.99957
546,gwembe,2017,4.23909
547,gwembe,2018,3.86565
548,gwembe,2019,3.7421800000000003
549,gwembe,2020,3.99498
550,gwembe,2021,4.18325
551,gwembe,2022,3.7190185185185185
552,ikelenge,1999,4.2821533333333335
553,ikelenge,2000,4.2061
554,ikelenge,2001,4.1389
555,ikelenge,2002,4.23198
