cname,planting,harvest,lai,wsgd,gwad
Arusha,2016-10-13,2017-02-16,0.23,0,1534
Arusha,2016-09-14,2017-01-17,0.18,0,1130
Arusha,2016-10-06,2017-02-09,0.16,0,1437
Arusha,2016-09-30,2017-02-01,0.16,0,1219
Arusha,2016-09-14,2017-01-17,0.17,0,1102
Arusha,2016-10-08,2017-02-11,0.56,0,2125
Arusha,2016-10-09,2017-02-12,0.2,0,1456
Arusha,2016-10-03,2017-02-05,0.5,0,2044
Arusha,2016-09-22,2017-01-23,0.21,0,1239
Arusha,2017-01-21,2017-06-11,0.11,0,1478
Arusha,2017-02-04,2017-06-29,0.11,0,1426
Arusha,2017-01-31,2017-06-24,0.1,0,1420
Arusha,2017-01-11,2017-05-31,0.1,0,1449
Arusha,2017-01-10,2017-05-30,0.1,0,1401
Arusha,2017-01-31,2017-06-24,0.12,0,1598
Arusha,2017-02-01,2017-06-25,0.11,0,1491
Arusha,2017-01-28,2017-06-20,0.12,0,1670
Arusha,2017-01-22,2017-06-12,0.1,0,1426
Arusha,2017-02-06,2017-07-01,0.13,0,1603
Arusha,2017-01-31,2017-06-24,0.1,0,1435
Arusha,2017-01-17,2017-06-07,0.24,0,2342
Arusha,2017-01-19,2017-06-09,0.32,0,2637
Arusha,2017-01-10,2017-05-30,0.09,0,1316
Arusha,2017-01-14,2017-06-03,0.1,0,1446
Arusha,2017-02-03,2017-06-28,0.34,0,2621
Arusha,2017-01-22,2017-06-12,0.12,0,1636
Arusha,2017-02-06,2017-07-01,0.13,0,1565
Arusha,2017-01-16,2017-06-06,0.11,0,1479
Arusha,2017-02-02,2017-06-27,0.19,0,2015
Arusha,2017-01-23,2017-06-13,0.1,0,1459
Arusha,2017-01-12,2017-06-01,0.13,0,1663
Arusha,2017-01-28,2017-06-20,0.14,0,1772
Arusha,2017-01-16,2017-06-06,0.12,0,1574
Arusha,2017-01-28,2017-06-20,0.29,0,2620
Arusha,2017-02-08,2017-07-01,0.13,0,1644
Arusha,2017-01-18,2017-06-08,0.12,0,1570
Arusha,2017-01-19,2017-06-09,0.4,0,2815
Arusha,2017-01-21,2017-06-11,0.1,0,1426
Arusha,2017-02-07,2017-07-01,1.33,0.193,4177
Arusha,2017-02-05,2017-07-01,0.13,0,1658
Arusha,2017-01-12,2017-06-01,0.08,0,1305
Arusha,2017-01-23,2017-06-13,0.48,0,3211
Arusha,2017-01-11,2017-05-31,0.08,0,1311
Arusha,2017-01-28,2017-06-20,0.18,0,2050
Arusha,2017-01-25,2017-06-17,0.16,0,1889
Arusha,2017-01-11,2017-05-31,0.09,0,1350
Arusha,2017-01-19,2017-06-09,0.16,0,1873
Arusha,2017-01-18,2017-06-08,0.14,0,1698
Arusha,2017-01-21,2017-06-11,0.12,0,1577
Arusha,2017-09-19,2018-01-27,0.18,0,1376
Arusha,2017-10-05,2018-02-14,0.24,0,1742
Arusha,2017-10-04,2018-02-13,0.18,0,1479
Arusha,2017-10-11,2018-02-21,0.19,0,1459
Arusha,2017-09-24,2018-02-02,0.41,0,1995
Arusha,2017-10-10,2018-02-20,0.2,0,1465
Arusha,2017-10-02,2018-02-11,0.16,0,1540
Arusha,2017-09-21,2018-01-29,0.14,0,1329
Arusha,2017-09-29,2018-02-08,0.13,0,1417
Arusha,2017-09-15,2018-01-21,0.15,0,1372
Arusha,2017-09-29,2018-02-08,0.22,0,1697
Arusha,2017-10-14,2018-02-24,0.32,0,1680
Arusha,2017-10-01,2018-02-10,0.23,0,1712
Arusha,2017-10-12,2018-02-22,0.2,0,1468
Arusha,2017-10-05,2018-02-14,0.2,0,1476
Arusha,2017-09-24,2018-02-02,0.14,0,1378
Arusha,2017-10-10,2018-02-20,0.16,0,1395
Arusha,2017-10-04,2018-02-13,0.19,0,1582
Arusha,2017-09-23,2018-01-31,0.19,0,1541
Arusha,2017-10-05,2018-02-14,0.16,0,1510
Arusha,2017-10-13,2018-02-23,0.34,0,1704
Arusha,2017-10-03,2018-02-12,0.16,0,1514
Arusha,2017-09-17,2018-01-24,0.18,0,1469
Arusha,2017-09-16,2018-01-22,0.15,0,1385
Arusha,2017-09-20,2018-01-28,0.22,0,1558
Arusha,2017-10-12,2018-02-22,0.19,0,1474
Arusha,2017-09-22,2018-01-30,0.14,0,1321
Arusha,2017-09-17,2018-01-24,0.15,0,1363
Arusha,2017-10-02,2018-02-11,0.18,0,1505
Arusha,2017-10-06,2018-02-15,0.14,0,1398
Arusha,2017-09-21,2018-01-29,0.44,0,2128
Arusha,2017-10-03,2018-02-12,0.15,0,1485
Arusha,2017-09-22,2018-01-30,0.18,0,1483
Arusha,2017-09-23,2018-01-31,0.2,0,1548
Arusha,2017-10-05,2018-02-14,0.47,0,2171
Arusha,2017-09-20,2018-01-28,0.14,0,1326
Arusha,2017-09-28,2018-02-07,0.23,0,1689
Arusha,2017-10-06,2018-02-15,0.15,0,1428
Arusha,2017-10-11,2018-02-21,0.21,0,1505
Arusha,2017-09-26,2018-02-04,0.17,0,1375
Arusha,2018-01-11,2018-06-06,0.34,0,1923
Arusha,2018-01-24,2018-06-22,0.22,0,2243
Arusha,2018-01-10,2018-06-04,0.26,0,1761
Arusha,2014-09-19,2015-01-25,0.18,0,1629
Arusha,2018-01-14,2018-06-12,0.24,0,1714
Arusha,2018-01-17,2018-06-13,0.26,0,1911
Arusha,2018-02-05,2018-07-01,1.4,0,4945
Arusha,2018-01-30,2018-06-29,0.22,0,2595
Arusha,2018-02-01,2018-07-01,0.2,0,2519
Arusha,2018-01-21,2018-06-20,0.21,0,2048
Arusha,2018-01-12,2018-06-08,0.26,0,1690
Arusha,2018-01-18,2018-06-15,0.24,0,1970
Arusha,2018-01-22,2018-06-18,0.24,0,2144
Arusha,2018-01-29,2018-06-28,0.21,0,2490
Arusha,2018-02-08,2018-07-01,0.23,0,2334
