,district,season_year,cultivar,year,yield
383,chama,2019,cultivar10,2020,5.13546
384,chama,2019,cultivar2,2019,3.6436
385,chama,2019,cultivar2,2020,3.98584
386,chama,2019,cultivar3,2019,6.9600599999999995
387,chama,2019,cultivar3,2020,6.468959999999999
388,chama,2019,cultivar4,2019,2.42102
389,chama,2019,cultivar4,2020,2.59666
390,chama,2019,cultivar5,2019,3.49904
391,chama,2019,cultivar5,2020,3.58086
392,chama,2019,cultivar6,2019,6.45664
393,chama,2019,cultivar6,2020,6.326499999999999
394,chama,2019,cultivar7,2019,6.80682
395,chama,2019,cultivar7,2020,6.52712
396,chama,2019,cultivar8,2019,6.21764
397,chama,2019,cultivar8,2020,6.05962
398,chama,2019,cultivar9,2019,6.1125
399,chama,2019,cultivar9,2020,6.26484
400,chama,2020,cultivar1,2020,3.6910000000000003
401,chama,2020,cultivar1,2021,4.41304
402,chama,2020,cultivar10,2020,4.93128
403,chama,2020,cultivar10,2021,5.127960000000001
404,chama,2020,cultivar2,2020,3.57932
405,chama,2020,cultivar2,2021,4.44672
406,chama,2020,cultivar3,2020,6.73702
407,chama,2020,cultivar3,2021,6.276079999999999
408,chama,2020,cultivar4,2020,2.50028
409,chama,2020,cultivar4,2021,2.72188
410,chama,2020,cultivar5,2020,3.6879000000000004
411,chama,2020,cultivar5,2021,3.85126
412,chama,2020,cultivar6,2020,6.4911
413,chama,2020,cultivar6,2021,6.31776
414,chama,2020,cultivar7,2020,6.60438
415,chama,2020,cultivar7,2021,6.4204
416,chama,2020,cultivar8,2020,6.01174
417,chama,2020,cultivar8,2021,5.8952
418,chama,2020,cultivar9,2020,5.9706399999999995
419,chama,2020,cultivar9,2021,6.37514
420,chama,2021,cultivar1,2021,3.74798
421,chama,2021,cultivar1,2022,3.98108
422,chama,2021,cultivar10,2021,5.2595600000000005
423,chama,2021,cultivar10,2022,5.50408
424,chama,2021,cultivar2,2021,4.2119599999999995
425,chama,2021,cultivar2,2022,4.1445
426,chama,2021,cultivar3,2021,6.1377
